"Gene","Accession","HGNC"
"AC168977.1","ENSMUSG00000079808","AC168977.1"
"CAAA01118383.1","ENSMUSG00000063897","CAAA01118383.1"
"Vamp7","ENSMUSG00000051412","Vamp7"
"Spry3","ENSMUSG00000061654","Spry3"
"Tmlhe","ENSMUSG00000079834","Tmlhe"
"CAAA01147332.1","ENSMUSG00000095742","CAAA01147332.1"
"AC149090.1","ENSMUSG00000095041","AC149090.1"
"Xkr4","ENSMUSG00000051951","XKR4"
"Rp1","ENSMUSG00000025900","RP1"
"Gm37323","ENSMUSG00000104328","Gm37323"
"Mrpl15","ENSMUSG00000033845","MRPL15"
"Rgs20","ENSMUSG00000002459","RGS20"
"4732440D04Rik","ENSMUSG00000090031","4732440D04Rik"
"Gm26901","ENSMUSG00000097797","Gm26901"
"2610203C22Rik","ENSMUSG00000079671","2610203C22Rik"
"Mybl1","ENSMUSG00000025912","MYBL1"
"Vcpip1","ENSMUSG00000045210","VCPIP1"
"Snhg6","ENSMUSG00000098234","Snhg6"
"Tcf24","ENSMUSG00000099032","TCF24"
"Ppp1r42","ENSMUSG00000025916","PPP1R42"
"Cops5","ENSMUSG00000025917","COPS5"
"Arfgef1","ENSMUSG00000067851","ARFGEF1"
"Slco5a1","ENSMUSG00000025938","SLCO5A1"
"Prdm14","ENSMUSG00000042414","PRDM14"
"Ncoa2","ENSMUSG00000005886","NCOA2"
"Tram1","ENSMUSG00000025935","TRAM1"
"Lactb2","ENSMUSG00000025937","LACTB2"
"Eya1","ENSMUSG00000025932","EYA1"
"Msc","ENSMUSG00000025930","MSC"
"Trpa1","ENSMUSG00000032769","TRPA1"
"Sbspon","ENSMUSG00000032719","SBSPON"
"4930444P10Rik","ENSMUSG00000067795","C8orf89"
"Rpl7","ENSMUSG00000043716","RPL7"
"Stau2","ENSMUSG00000025920","STAU2"
"Ube2w","ENSMUSG00000025939","UBE2W"
"Eloc","ENSMUSG00000079658","ELOC"
"Jph1","ENSMUSG00000042686","JPH1"
"Gm28154","ENSMUSG00000100053","Gm28154"
"Il17f","ENSMUSG00000041872","IL17F"
"Mcm3","ENSMUSG00000041859","MCM3"
"Tram2","ENSMUSG00000041779","TRAM2"
"Kcnq5","ENSMUSG00000028033","KCNQ5"
"Rims1","ENSMUSG00000041670","RIMS1"
"Gm29506","ENSMUSG00000101227","Gm29506"
"Ogfrl1","ENSMUSG00000026158","OGFRL1"
"Smap1","ENSMUSG00000026155","SMAP1"
"Sdhaf4","ENSMUSG00000026154","SDHAF4"
"Fam135a","ENSMUSG00000026153","FAM135A"
"Col19a1","ENSMUSG00000026141","COL19A1"
"Adgrb3","ENSMUSG00000033569","ADGRB3"
"Gm9898","ENSMUSG00000053185","Gm9898"
"Phf3","ENSMUSG00000048874","PHF3"
"Ptp4a1","ENSMUSG00000026064","PTP4A1"
"Ptp4a1-1","ENSMUSG00000117310","Ptp4a1-1"
"4931428L18Rik","ENSMUSG00000086727","4931428L18Rik"
"Prim2","ENSMUSG00000026134","PRIM2"
"Bag2","ENSMUSG00000042215","BAG2"
"Zfp451","ENSMUSG00000042197","ZNF451"
"Bend6","ENSMUSG00000042182","BEND6"
"Gm37233","ENSMUSG00000102336","Gm37233"
"Ccdc115","ENSMUSG00000042111","CCDC115"
"Gm28306","ENSMUSG00000101711","Gm28306"
"Gm28417","ENSMUSG00000100280","Gm28417"
"Gm38336","ENSMUSG00000104002","Gm38336"
"Fam168b","ENSMUSG00000037503","FAM168B"
"Gm37335","ENSMUSG00000104523","Gm37335"
"Uggt1","ENSMUSG00000037470","UGGT1"
"Neurl3","ENSMUSG00000047180","NEURL3"
"Kansl3","ENSMUSG00000010453","KANSL3"
"Lman2l","ENSMUSG00000001143","LMAN2L"
"Gm38033","ENSMUSG00000102845","Gm38033"
"Ankrd23","ENSMUSG00000067653","ANKRD23"
"Ankrd39","ENSMUSG00000079610","ANKRD39"
"Sema4c","ENSMUSG00000026121","SEMA4C"
"Fam178b","ENSMUSG00000046337","FAM178B"
"Actr1b","ENSMUSG00000037351","ACTR1B"
"Tmem131","ENSMUSG00000026116","TMEM131"
"Coa5","ENSMUSG00000026112","COA5"
"Mgat4a","ENSMUSG00000026110","MGAT4A"
"2010300C02Rik","ENSMUSG00000026090","2010300C02Rik"
"Tsga10","ENSMUSG00000060771","TSGA10"
"Mitd1","ENSMUSG00000026088","MITD1"
"Txndc9","ENSMUSG00000058407","TXNDC9"
"Rev1","ENSMUSG00000026082","REV1"
"Aff3","ENSMUSG00000037138","AFF3"
"Lonrf2","ENSMUSG00000048814","LONRF2"
"Chst10","ENSMUSG00000026080","CHST10"
"Tbc1d8","ENSMUSG00000003134","TBC1D8"
"Gm15832","ENSMUSG00000085894","Gm15832"
"Rnf149","ENSMUSG00000048234","RNF149"
"Creg2","ENSMUSG00000050967","CREG2"
"1700066B17Rik","ENSMUSG00000101634","1700066B17Rik"
"Gm16894","ENSMUSG00000097899","Gm16894"
"Mfsd9","ENSMUSG00000041945","MFSD9"
"Tgfbrap1","ENSMUSG00000070939","TGFBRAP1"
"Fhl2","ENSMUSG00000008136","FHL2"
"Gm29155","ENSMUSG00000100764","Gm29155"
"Gm29156","ENSMUSG00000100480","Gm29156"
"Uxs1","ENSMUSG00000057363","UXS1"
"Gm8251","ENSMUSG00000091844","CCDC168"
"Tex30","ENSMUSG00000026049","TEX30"
"Poglut2","ENSMUSG00000026047","POGLUT2"
"Col5a2","ENSMUSG00000026042","COL5A2"
"Slc40a1","ENSMUSG00000025993","SLC40A1"
"Slc39a10","ENSMUSG00000025986","SLC39A10"
"9330175M20Rik","ENSMUSG00000101799","9330175M20Rik"
"1700072G22Rik","ENSMUSG00000101702","1700072G22Rik"
"Nabp1","ENSMUSG00000026107","NABP1"
"Gm17767","ENSMUSG00000099413","Gm17767"
"Gm28055","ENSMUSG00000101741","Gm28055"
"Myo1b","ENSMUSG00000018417","MYO1B"
"Gm31812","ENSMUSG00000109599","Gm31812"
"Gls","ENSMUSG00000026103","GLS"
"Nab1","ENSMUSG00000002881","NAB1"
"Mfsd6","ENSMUSG00000041439","MFSD6"
"Inpp1","ENSMUSG00000026102","INPP1"
"1700019D03Rik","ENSMUSG00000043629","C2orf88"
"1700019A02Rik","ENSMUSG00000060715","1700019A02Rik"
"Pms1","ENSMUSG00000026098","PMS1"
"Asnsd1","ENSMUSG00000026095","ASNSD1"
"Stk17b","ENSMUSG00000026094","STK17B"
